,SMALL LoVAR,ME1 VAR2,ME1 VAR3,ME1 VAR4,SMALL HiVAR,ME2 VAR1,ME2 VAR2,ME2 VAR3,ME2 VAR4,ME2 VAR5,ME3 VAR1,ME3 VAR2,ME3 VAR3,ME3 VAR4,ME3 VAR5,ME4 VAR1,ME4 VAR2,ME4 VAR3,ME4 VAR4,ME4 VAR5,BIG LoVAR,ME5 VAR2,ME5 VAR3,ME5 VAR4,BIG HiVAR
200705,1.1257,2.2125,3.2616,5.0029,17.3559,0.6558,1.4007,2.1851,3.4712,10.7723,0.4538,1.0255,1.5661,2.3313,6.0722,0.4598,0.8785,1.4153,2.0497,4.6992,0.3902,0.65,0.9127,1.4203,3.0637
200706,1.163,2.2773,3.25,4.9818,19.3631,0.6595,1.3503,2.049,3.1929,8.577,0.4891,1.0373,1.6631,2.3321,6.2756,0.4603,0.8831,1.379,2.1544,5.6231,0.355,0.6469,0.9843,1.4546,3.0873
200707,1.1207,2.19,3.337,5.1562,16.774,0.7413,1.4256,2.0654,3.2014,7.8963,0.54,1.0748,1.6323,2.4021,6.5713,0.4625,0.9479,1.4889,2.1898,6.2698,0.387,0.6863,1.028,1.4126,3.0459
200708,1.2661,2.3848,3.4946,5.4084,18.2235,0.8291,1.5208,2.2331,3.1152,7.9409,0.637,1.1879,1.7467,2.5892,6.4281,0.5667,0.9919,1.5254,2.2581,5.7498,0.416,0.7413,1.1128,1.5856,3.5477
200709,2.481,4.5838,6.7154,9.7864,24.777,1.8256,2.9807,4.1623,6.0658,13.3064,1.2189,2.0123,2.8824,4.0259,10.569,0.9431,1.622,2.3367,3.3832,7.1532,0.6607,1.1535,1.6277,2.26,4.6365
200710,2.5647,5.1792,7.8065,11.1893,28.6861,2.0431,3.3399,4.6895,6.6349,13.1794,1.2861,2.224,3.0885,4.4279,11.1454,1.0377,1.7593,2.566,3.6922,7.9187,0.6988,1.2232,1.666,2.3445,4.7359
200711,2.6479,5.0306,7.5992,11.2951,33.0746,1.8517,3.2617,4.6837,6.6242,14.1561,1.2542,2.2878,3.2472,4.4374,8.6249,0.9456,1.7743,2.5654,3.8068,8.8006,0.6209,1.158,1.62,2.4606,4.8079
200712,2.4609,4.8066,7.0319,10.5518,31.5945,1.6334,3.0583,4.3614,6.0408,12.7979,1.1707,2.1615,3.1249,4.4814,12.8216,1.0375,1.7195,2.4327,3.5808,8.8878,0.6385,1.138,1.682,2.5791,6.1782
200801,2.8732,5.3976,7.9892,12.2556,37.6535,1.8602,3.301,4.8495,6.9304,19.4874,1.2166,2.2243,3.1862,4.5799,13.6325,1.0724,1.7794,2.5031,3.7276,10.0722,0.6937,1.2119,1.8253,2.7287,6.4961
200802,3.4824,6.634,10.5229,16.8946,46.901,2.2943,3.8762,5.3532,7.7827,23.7257,1.4817,2.8903,4.0447,6.2294,19.0694,1.4058,2.1909,3.114,5.0124,12.3118,0.9971,1.6627,2.4904,3.5251,7.9814
200803,3.4911,6.7878,11.0956,17.4171,45.0014,2.3253,4.2094,6.1595,9.1187,26.7153,1.5944,3.0177,4.411,6.3852,14.913,1.3922,2.2901,3.2672,5.3132,13.0388,0.8725,1.7088,2.4638,3.7748,8.7987
200804,3.8282,7.6042,11.7217,18.0696,46.9875,2.541,4.7268,7.1458,10.5244,23.3488,1.7353,3.3464,4.9084,6.9701,20.6702,1.5227,2.5257,3.5529,5.7381,14.2406,1.053,1.9428,2.7325,4.2874,10.4281
200805,3.4725,6.9999,10.2274,15.1095,40.9538,2.0166,3.9726,5.9463,9.0282,20.5856,1.4227,2.794,4.3094,6.2939,18.9595,1.1178,2.1244,3.0714,4.9578,11.2986,0.9159,1.6413,2.4303,3.9529,9.8232
200806,3.2827,6.2992,9.2469,14.1178,38.4939,1.8982,3.7281,5.3172,8.1665,19.0405,1.3657,2.6703,4.1777,6.4352,14.8448,1.0483,1.9915,3.1088,4.8485,10.4056,0.8399,1.5838,2.4217,3.9958,9.7382
200807,2.871,5.5569,8.3039,12.9412,37.6194,1.7847,3.5819,5.3942,7.8949,19.8104,1.3847,2.4748,3.8748,5.8155,12.3854,1.0217,1.9474,3.0059,4.7846,10.9244,0.8369,1.5659,2.3244,3.6942,7.8511
200808,3.5827,6.863,10.1669,16.5505,42.5312,1.9574,3.8303,5.8494,8.7865,20.1007,1.5293,2.9886,4.662,7.3445,16.8629,1.2536,2.4452,3.8551,6.0435,15.0534,1.0383,1.7729,2.8252,4.6415,10.5095
200809,3.6292,7.2095,11.3949,18.5297,47.6967,2.0473,3.8176,5.8025,9.4918,20.9359,1.7417,3.2068,4.9432,7.9001,20.0238,1.3982,2.5451,4.1069,6.5854,16.9583,1.1293,1.7966,2.9135,5.0968,10.8129
200810,4.5902,8.9931,13.744,22.8206,64.9326,2.7069,5.1277,7.8268,11.9627,34.8314,2.1539,3.9007,6.2602,9.5271,25.2725,1.9308,3.3251,5.2807,8.1001,20.9807,1.4578,2.2816,3.9967,6.274,14.4606
200811,8.4325,15.8884,25.6801,44.31,128.3786,4.7176,8.2206,12.0609,18.7035,51.699,3.5853,6.4669,10.4108,15.8717,41.9764,3.187,5.5099,8.6482,13.9701,32.8574,2.6051,4.2006,6.2431,9.8583,31.569
200812,12.1184,24.4226,40.6631,73.5423,187.5951,7.0302,12.0477,18.5214,31.3817,91.3688,5.221,8.9604,13.5805,20.9604,57.533,4.3549,7.2758,11.2175,17.4544,46.5545,3.5868,5.7927,8.1881,12.3587,37.755
200901,14.1588,29.1357,48.9816,91.7992,266.8803,6.5864,12.4486,20.7377,34.251,81.9303,5.108,9.3505,13.9999,21.5017,54.2955,4.4681,7.2306,11.2066,17.0641,40.0035,3.3488,5.8384,8.2569,11.692,33.2055
200902,12.4112,25.7638,42.8675,78.1855,229.1613,5.2454,10.0748,17.0682,28.4639,63.8176,3.7211,6.5954,10.3888,15.8636,40.5978,3.0612,5.1437,8.0778,12.5755,32.2415,2.3181,3.9449,6.1877,9.4605,20.4478
200903,11.7994,23.8239,37.3412,61.7944,192.9405,4.6477,9.1098,13.9105,22.5527,48.082,3.0223,5.9495,9.1316,13.3038,32.1021,2.5848,4.4786,7.228,10.7769,23.2211,2.0355,3.545,4.8897,8.2912,17.6646
200904,12.1634,24.5389,38.9949,67.3002,234.4688,4.9678,8.7886,13.2034,21.0923,46.4152,3.1596,6.1188,9.1213,13.1701,37.3859,2.537,4.5539,6.9052,10.1495,23.0458,1.9734,3.6012,5.2125,8.068,19.2079
200905,10.1205,21.9801,37.8961,67.8178,233.0441,4.5837,8.242,12.6824,20.5003,49.946,3.231,6.0978,8.9567,13.9083,34.9046,2.5097,4.6317,7.0297,10.4908,35.0719,1.9656,3.5287,5.0558,7.7356,18.5023
200906,9.2294,19.297,34.618,65.5851,229.9614,3.9869,7.5768,11.7076,19.2417,109.0144,2.8112,5.6187,8.0154,12.6802,31.3543,2.1437,4.0667,6.3938,9.5037,32.5886,1.8102,3.3133,4.641,6.9379,17.6731
200907,7.8258,15.8029,24.7438,42.1533,226.5934,3.3301,6.1994,9.3041,14.2521,40.079,2.0881,4.0328,5.9637,8.9565,22.843,1.6678,3.2122,5.1607,7.5041,25.5462,1.3958,2.4148,3.3623,4.9907,12.0797
200908,5.8681,11.5409,17.7589,29.6201,112.2589,2.6763,5.1537,7.8766,11.6786,75.2265,1.6852,3.0667,4.463,7.161,40.507,1.2909,2.313,3.3907,4.9756,11.1946,1.0283,1.761,2.5409,3.6702,8.2771
200909,4.8834,9.4137,14.0496,22.965,99.516,2.0895,4.1243,6.2776,8.8138,28.6489,1.3101,2.6488,4.0594,5.8385,18.8295,1.0784,1.9228,2.8208,4.1859,26.1617,0.836,1.402,2.0487,3.125,7.5482
200910,3.519,7.1506,11.1485,17.7243,80.3901,1.8302,3.6598,5.5505,8.0513,29.5516,1.162,2.4975,3.7812,5.3229,16.602,0.8966,1.7416,2.6854,4.0824,26.4719,0.7193,1.2248,1.8996,2.8341,7.1366
200911,3.1355,6.105,9.3324,14.9488,60.9455,1.5668,3.1721,4.8565,7.162,21.6133,0.9688,2.1065,3.2877,4.7445,10.7375,0.7758,1.4326,2.344,3.6688,8.469,0.6281,1.0803,1.6493,2.4681,6.0238
200912,3.1108,5.9597,9.0531,14.048,49.6249,1.4732,2.9873,4.5488,6.7646,16.8265,0.9288,1.8808,2.9978,4.5402,10.1377,0.7756,1.3971,2.1823,3.4163,8.0446,0.5727,1.0111,1.5534,2.4091,5.7982
201001,2.9972,5.8536,8.4646,13.2881,41.3592,1.3535,2.5483,4.0832,6.3373,15.2077,0.8791,1.7235,2.7217,4.0499,9.2287,0.6587,1.1854,1.982,3.1511,7.6185,0.4805,0.8747,1.3716,2.0447,5.2244
201002,2.772,5.3506,7.9568,12.5531,37.8251,1.3184,2.5258,3.817,5.8039,12.8358,0.7591,1.5239,2.3299,3.5531,9.2284,0.6466,1.1058,1.8057,2.902,6.7138,0.4892,0.8541,1.3076,1.9922,4.2777
201003,2.3195,4.5522,7.0566,11.3346,36.7425,1.3267,2.5908,3.7959,5.7531,13.8274,0.8174,1.5776,2.3974,3.5913,8.3509,0.6804,1.2454,1.9673,3.1063,6.6254,0.5246,0.8912,1.3093,2.0487,3.9537
201004,2.3508,4.3492,6.5371,10.2753,35.7822,1.2401,2.5301,3.7608,5.4849,12.7216,0.7207,1.4478,2.4755,3.8834,11.4554,0.7116,1.2893,1.9347,3.0668,6.9118,0.445,0.831,1.2167,1.818,3.869
201005,2.0431,4.0711,6.305,9.9049,38.0459,1.1771,2.4132,3.628,5.492,12.463,0.7929,1.437,2.3717,3.792,11.9646,0.6957,1.2028,1.8753,2.8447,6.6163,0.3785,0.7164,1.1075,1.6738,3.7606
201006,2.2596,4.2967,6.3873,9.6267,34.3713,1.2691,2.4065,3.581,5.455,12.5405,0.8414,1.5422,2.4878,3.8488,9.3741,0.6577,1.1863,1.8262,2.8603,5.9497,0.4425,0.8155,1.2263,1.8356,3.8159
201007,2.499,4.748,6.8954,9.9625,31.5988,1.3991,2.5849,3.9028,5.9864,13.7744,0.9425,1.7354,2.7343,3.8644,8.2866,0.7021,1.2563,1.8942,2.9555,6.4421,0.4797,0.8685,1.2644,1.9604,4.2264
201008,2.5912,4.8005,6.8473,9.7471,27.563,1.3357,2.4428,3.7708,5.6478,14.8874,0.9402,1.7431,2.6426,3.8543,10.114,0.7048,1.176,1.8875,3.0339,6.2612,0.5221,0.869,1.2278,1.9433,4.4483
201009,2.387,4.3657,6.4786,9.171,25.6772,1.1151,2.1268,3.4011,5.1843,14.0804,0.8035,1.5989,2.4248,3.6446,9.0075,0.5721,1.0558,1.723,2.6889,5.7449,0.4948,0.7655,1.1389,1.7635,4.0914
201010,2.1955,4.0115,5.8871,9.0268,30.3848,0.9927,2.0302,3.1786,4.7853,13.3819,0.7251,1.4212,2.1177,3.1881,8.9108,0.5511,0.9646,1.6241,2.8061,6.7222,0.4154,0.7252,1.1145,1.6636,3.4555
201011,1.8066,3.401,5.2526,8.1175,26.3565,0.8781,1.7835,2.6374,4.1292,12.4469,0.6343,1.18,1.8404,3.0323,8.9654,0.4946,0.8874,1.4558,2.4016,6.8117,0.3739,0.7124,1.0093,1.525,3.1807
201012,1.7768,3.3285,4.9422,7.542,23.4835,0.8528,1.6671,2.7618,4.7785,14.0761,0.6438,1.2452,2.0668,3.247,8.3381,0.4666,0.8101,1.4056,2.4246,6.7191,0.3568,0.717,1.0727,1.5602,3.4269
201101,1.5958,3.2098,5.0576,8.0362,25.5074,0.771,1.5714,2.5879,4.3861,13.1729,0.6205,1.1724,1.9039,3.2243,12.2532,0.428,0.7901,1.2756,2.3306,158.0104,0.3542,0.6566,0.9974,1.4647,3.2531
201102,1.5046,2.7103,4.2218,6.9182,23.2489,0.7216,1.4938,2.4849,4.1554,11.8268,0.6228,1.1506,1.9469,3.1001,61.3024,0.3883,0.8209,1.4066,2.1332,5.6623,0.4086,0.707,1.0005,1.4866,3.7976
201103,1.5249,2.6804,4.177,6.9537,23.0156,0.7759,1.6526,2.8433,4.4998,12.8235,0.607,1.2554,2.0727,3.4015,11.6937,0.4641,1.0252,1.6984,2.6234,7.6652,0.4825,0.8207,1.1566,1.8453,4.1189
201104,1.575,2.8517,4.3344,7.0591,23.872,0.8002,1.6399,2.856,4.6781,11.7194,0.6246,1.3547,2.2421,3.4587,9.2918,0.4955,1.0427,1.7506,2.737,6.8286,0.5298,0.8775,1.2108,2.0376,4.2791
201105,1.456,2.8845,4.5019,7.0805,22.4937,0.7244,1.5662,2.7593,4.3204,11.1974,0.5836,1.1965,1.9852,3.3218,9.7327,0.5032,0.9865,1.5657,2.5575,7.883,0.4944,0.7891,1.1177,1.8083,3.7773
201106,1.4298,2.7381,4.1796,6.9122,20.1308,0.7315,1.5185,2.554,4.277,11.2445,0.516,1.1046,1.9184,3.17,7.6874,0.4485,0.9218,1.5048,2.3982,7.6964,0.4226,0.6669,1.0182,1.6288,3.505
