,SMALL LoVAR,ME1 VAR2,ME1 VAR3,ME1 VAR4,SMALL HiVAR,ME2 VAR1,ME2 VAR2,ME2 VAR3,ME2 VAR4,ME2 VAR5,ME3 VAR1,ME3 VAR2,ME3 VAR3,ME3 VAR4,ME3 VAR5,ME4 VAR1,ME4 VAR2,ME4 VAR3,ME4 VAR4,ME4 VAR5,BIG LoVAR,ME5 VAR2,ME5 VAR3,ME5 VAR4,BIG HiVAR
201612,2.6444,5.147,7.8292,12.6488,45.7815,2.1348,3.4816,5.073,7.5944,19.6553,1.6269,2.6502,3.5563,5.5289,16.9337,1.2561,2.0324,2.5767,3.6182,9.1982,1.0491,1.5389,2.1021,2.8996,6.4361
201701,2.7604,4.9381,7.6465,13.2367,42.421,2.072,3.4187,5.0935,7.5937,19.769,1.4195,2.4875,3.4237,5.2949,17.3157,1.14,1.8331,2.477,3.5001,8.5963,0.8938,1.3827,1.949,2.7311,5.7861
201702,2.7961,4.8394,7.9945,13.6473,47.9497,1.9501,3.2389,4.7215,7.1104,20.03,1.3751,2.3366,3.1986,4.9305,12.6252,0.9455,1.5724,2.3486,3.7279,11.7087,0.8368,1.2746,1.8767,2.619,5.5023
201703,2.282,3.9428,6.0595,9.988,42.8898,1.7209,2.8337,4.1864,5.8976,17.2625,1.1805,2.0075,2.664,4.0109,10.2094,0.7116,1.2651,1.8336,2.672,7.3139,0.5552,0.8408,1.1647,1.7266,3.6678
201704,2.4582,4.3521,6.5798,10.9161,44.2448,1.6731,2.8006,4.1195,6.3314,16.2493,1.0449,1.8838,2.6163,3.7893,10.2813,0.6946,1.1677,1.7218,2.6486,6.217,0.476,0.7402,1.0495,1.5973,3.5229
201705,2.3026,4.2164,6.6693,11.2144,32.2489,1.7272,2.8336,4.1949,5.9581,19.2589,1.0563,1.9166,2.7814,4.0033,9.5512,0.6396,1.1727,1.7073,2.5103,5.2549,0.4271,0.6723,1.001,1.549,3.3029
201706,2.1913,4.1221,6.9909,12.3088,34.2669,1.5432,2.7628,3.8606,6.1415,14.1003,1.0692,1.8271,2.4833,3.4854,13.2859,0.6031,1.1055,1.6137,2.3232,4.9922,0.3659,0.5986,0.8985,1.4515,3.5755
201707,2.2243,4.48,7.2401,11.6783,32.2131,1.4983,2.6604,3.8977,6.2532,14.8926,1.0874,1.9028,2.5635,3.7052,13.9854,0.6914,1.2552,1.7846,2.6305,6.2647,0.4168,0.6973,1.0835,1.5209,3.4762
201708,2.0102,4.0116,6.7376,11.3642,33.3131,1.3982,2.3756,3.6205,5.8368,14.6963,1.0053,1.706,2.272,3.3347,11.1444,0.6576,1.1674,1.7198,2.5933,6.2465,0.3849,0.704,1.0496,1.4718,3.2992
201709,2.1174,4.6834,7.7598,12.8617,35.0097,1.4101,2.5304,4.0007,6.6435,17.8898,0.9294,1.6811,2.3222,3.7356,10.5366,0.6965,1.1985,1.8038,2.7901,6.4034,0.4046,0.747,1.0234,1.4119,2.9059
201710,1.8438,4.0582,7.3715,12.0667,33.4576,1.3738,2.4146,3.8473,6.1596,20.6222,0.8919,1.6662,2.3307,3.5541,11.2357,0.727,1.2009,1.7345,2.5889,6.2705,0.4599,0.7616,1.0733,1.4433,3.0517
201711,2.0165,3.9667,6.8349,11.3536,35.6872,1.3339,2.2867,3.4433,5.3292,19.4104,0.8461,1.5065,2.1425,3.0724,9.6739,0.6788,1.1266,1.6054,2.4517,6.293,0.4618,0.7905,1.0822,1.5033,3.1324
201712,2.2224,4.5563,7.4546,11.8452,39.2385,1.5029,2.5695,3.885,6.1244,20.6073,0.9634,1.7627,2.3985,3.5244,10.4021,0.7041,1.1452,1.7101,2.6186,7.2518,0.5343,0.8323,1.0945,1.5515,3.5445
201801,2.0919,4.2411,7.0754,11.6985,41.2918,1.4829,2.6509,3.9871,6.2682,17.6047,0.9409,1.6858,2.3999,3.621,10.1567,0.7032,1.1612,1.6721,2.4867,7.2881,0.5137,0.883,1.1878,1.5897,3.5097
201802,2.1539,4.5082,7.6712,11.9766,45.6136,1.3809,2.3479,3.7786,5.948,15.9347,1.0321,1.761,2.5119,3.7887,12.9471,0.7535,1.2111,1.7155,2.6111,9.1431,0.6541,1.0079,1.2727,1.7297,3.5396
201803,2.2067,4.8463,7.6928,11.7809,43.2513,1.8893,3.1383,4.5879,7.1359,16.8761,1.5644,2.4284,3.4076,4.8463,13.7304,1.3799,1.9511,2.5558,3.5135,7.9301,1.2441,1.8548,2.1968,2.6639,4.7254
201804,2.6399,5.7366,8.2441,12.2953,38.7789,2.1831,3.4891,4.9353,7.771,16.5348,1.7998,2.8668,3.946,5.2257,11.4424,1.7183,2.3628,3.0858,3.9576,8.2407,1.4965,2.2383,2.6995,3.2912,5.0573
201805,2.5505,5.3272,7.8111,12.3183,33.965,2.2615,3.6674,5.2,8.0253,17.5218,1.9542,3.1932,4.2008,5.6128,13.0184,1.7512,2.5357,3.2689,4.2834,8.9635,1.528,2.3651,3.026,3.5658,5.6062
201806,1.9917,4.3439,7.1176,11.4614,34.301,1.7343,3.0263,4.5553,6.9358,16.7741,1.4334,2.339,3.218,4.738,15.3094,1.2284,1.8846,2.5081,3.4973,7.5547,1.0572,1.7199,2.3041,2.9474,4.8558
201807,1.6732,3.9526,6.168,10.009,36.2178,1.2875,2.4442,4.0393,6.4944,16.8025,1.2383,2.0247,2.9269,4.3179,15.7738,1.0442,1.5527,2.1277,3.0734,8.2081,0.8511,1.3445,1.7749,2.3011,4.1815
201808,1.6322,3.6001,5.5605,9.2589,37.4294,1.2526,2.4209,3.8349,6.1189,16.6124,1.0863,1.7421,2.6926,4.0575,13.7438,0.9303,1.4406,1.9964,2.9364,7.2941,0.8502,1.2289,1.6285,2.1679,4.4165
201809,1.7709,4.1297,6.3335,10.2158,36.3942,1.2613,2.7683,4.2668,6.4083,18.7088,1.0403,1.8286,2.8461,4.4018,10.6627,0.8253,1.3802,1.9898,3.157,7.5557,0.701,1.0206,1.4214,1.9985,4.4219
201810,1.6711,3.9535,6.147,10.4113,31.8867,1.3082,2.5993,3.9791,6.1722,16.35,1.0671,1.7898,2.735,4.4575,10.0873,0.8688,1.3577,2.0107,3.0929,7.0439,0.6971,0.9782,1.273,1.7668,4.1835
201811,2.2616,4.7481,7.5071,11.9831,52.6143,1.9633,3.5483,5.4252,7.8178,18.5915,1.6763,2.6228,3.5593,5.3699,11.3055,1.3261,2.0424,2.9023,4.1813,9.9005,1.1373,1.6065,2.0977,2.8203,5.8785
201812,3.0401,6.5409,10.3402,15.42,55.157,2.5171,4.5238,7.1244,10.2135,21.0646,2.0996,3.5007,5.0479,7.1342,14.3324,1.8163,2.8442,3.8614,5.4445,12.3046,1.3776,2.1355,2.6928,3.8254,7.8907
